ID;petName;bornDatePet;petGender;typePet
1;Chris;7/30/2008;Male;Duck
2;Mary;12/11/2007;Female;Duck
3;Carmella;9/14/2005;Female;Harrie
4;Johnathan;11/8/2011;Male;Caribou
5;Domenic;7/14/2004;Male;Crested porcupine
6;Caitlyn;12/11/2013;Female;Great egret
7;Anabel;12/25/2005;Female;Huron
8;Rick;8/12/2005;Male;Buttermilk snake
9;Abdul;11/12/2014;Male;Eastern quoll
10;Jack;7/1/2014;Male;Field flicker
11;Marina;1/10/2006;Female;Fringe-eared oryx
12;Danny;2/7/2008;Male;Donkey
13;Henry;2/12/2014;Male;Deer
14;Anais;4/21/2018;Female;Turkey
15;Dalia;8/11/2014;Female;Penguin
16;Jacob;6/15/2006;Male;Honey badger
17;Matthew;5/23/2013;Male;Great cormorant
18;Carol;10/28/2007;Female;Zebra
19;Domenic;1/13/2015;Male;Duck
20;Dalia;5/2/2009;Female;Wallaby
21;Clarissa;10/30/2009;Female;Mouse
22;William;12/1/2013;Male;Black-tailed deer
23;Stacy;2/5/2005;Female;Shirmp
24;Aiden;9/23/2010;Male;Javanese cormorant
25;Davina;2/20/2019;Female;Sea Elephant
26;Javier;6/27/2018;Male;Jaguarundi
27;Maddison;4/18/2004;Female;Flightless cormorant
28;Aleksandra;5/12/2007;Female;Toucan
29;Stella;9/4/2012;Female;Horned rattlesnake
30;Hannah;6/7/2006;Female;Cheetah
31;Liliana;2/15/2009;Female;Golden jackal
32;Harvey;2/11/2015;Male;Galah
33;Macy;1/2/2005;Female;Weasel
34;Estrella;9/17/2018;Female;Kaffir cat
35;Johnny;4/4/2012;Male;Elephant
36;Juliet;3/29/2005;Female;Frilled dragon
37;Fred;2/18/2013;Male;Gila monster
38;Nate;5/1/2017;Male;Brown lemur
39;Rocco;1/28/2018;Male;Black-tailed deer
40;Rocco;9/24/2015;Male;Seal
41;Gina;12/30/2009;Female;Emerald green tree boa
42;Owen;11/19/2013;Male;Common seal
43;Alessia;9/18/2013;Female;Shirmp
44;Bryon;1/21/2017;Male;Deer
45;Melody;11/7/2008;Female;Possum
46;Vanessa;8/6/2011;Female;European stork
47;Rick;1/29/2011;Male;Dabchick
48;Aileen;2/12/2015;Female;Raccoon
49;Gloria;12/9/2009;Female;Common green iguana
50;Maxwell;8/22/2004;Male;Indian peacock
51;Jack;4/28/2014;Male;Rat
52;Gabriel;4/25/2013;Male;Crab
53;Ramon;8/31/2013;Male;Egyptian viper
54;Parker;3/29/2010;Female;Avocet
55;Violet;1/5/2018;Female;Glossy ibis
56;Mya;7/8/2013;Female;Harrie
57;Marvin;6/28/2019;Male;Huron
58;Eduardo;1/10/2009;Male;Gray heron
59;Zoe;5/1/2011;Female;Brazilian tapir
60;Denny;1/3/2011;Male;Zebu
61;Sara;9/30/2009;Female;Cattle egret
62;Renee;2/11/2014;Female;Armadillo
63;Chester;8/18/2005;Male;Clown Fish
64;Matthew;12/31/2012;Male;Avocet
65;Alan;4/24/2008;Male;Common turkey
66;Erick;7/27/2004;Male;King vulture
67;Karla;6/10/2014;Female;Black-footed ferret
68;Chester;9/27/2014;Male;Cheetah
69;Miley;9/1/2004;Female;Horse
70;Brad;9/23/2013;Male;African elephant
71;Liliana;9/29/2011;Female;Egyptian viper
72;Eduardo;9/23/2015;Male;Bushbuck
73;Dasha;12/11/2013;Female;Eastern diamondback rattlesnake
74;Josephine;2/11/2015;Female;Kinkajou
75;Luke;1/28/2019;Male;Dalmatian
76;Johnny;5/15/2005;Male;Galapagos albatross
77;Rylee;7/19/2012;Female;European red squirrel
78;Brad;11/27/2017;Male;Cape wild cat
79;Denny;3/10/2010;Male;Golden eagle
80;Ryan;2/26/2005;Male;Crested bunting
81;Harry;3/20/2007;Male;Black spider monkey
82;Maggie;5/29/2017;Female;Antelope
83;Daron;11/17/2013;Male;Blue-tongued lizard
84;Nina;5/8/2004;Female;Horned puffin
85;Jennifer;7/20/2014;Female;Cat
86;Cadence;4/8/2013;Female;Brown lemur
87;Nate;6/20/2009;Male;Killer whale
88;Josh;1/27/2014;Male;Common langur
89;Rita;4/19/2004;Female;Cobra
90;Eileen;8/5/2008;Female;Koala
91;Molly;8/29/2017;Female;Indian mynah
92;Jack;5/29/2009;Male;Brown lemur
93;Freya;4/20/2011;Female;Butterfly
94;Joseph;2/7/2008;Male;Frilled dragon
95;Harmony;9/11/2013;Female;European wild cat
96;Savannah;4/25/2006;Female;Arctic fox
97;Marla;3/3/2019;Female;Desert spiny lizard
98;Katelyn;9/17/2008;Female;Bald Eagle
99;Peter;6/5/2016;Male;Cape Barren goose
100;Bob;8/20/2013;Male;Cape wild cat
101;Bethany;9/24/2007;Female;Chicken
102;Keira;9/20/2006;Female;Common wolf
