petId,petName,bornDateOwner,petGender,typePet
"0296460419,Jessa,2008-09-20,Female,""Brocket, brown"""
"2189406382,Biddy,2005-06-28,Female,""Sloth, hoffman's"""
"2773460995,Joelle,2000-02-11,Female,""Eagle, bald"""
0450105563,Tye,2018-11-24,Male,Western bearded dragon
0996455221,Shane,2016-01-17,Female,Wood pigeon
0485011298,Hersh,2017-08-12,Male,Red-winged blackbird
"2394982160,Ynez,2010-02-02,Female,""Bleu, blue-breasted cordon"""
7733221943,Mela,2000-05-22,Female,Least chipmunk
8770405522,Isiahi,2016-05-20,Male,Black and white colobus
5503733339,Dyan,2018-09-19,Female,Springbok
5540609417,Arlinda,2018-01-26,Female,Lesser masked weaver
3243525004,Codee,2000-02-29,Female,Squirrel glider
0894112465,Reagan,2013-10-22,Male,American bison
7435318647,Allistir,2004-06-30,Male,Scaly-breasted lorikeet
"4938383411,Dena,2018-08-31,Female,""Glider, squirrel"""
"9529347464,Katleen,2001-07-09,Female,""Shrike, crimson-breasted"""
9823770190,Burnard,2002-12-22,Male,Sidewinder
3780945509,Linette,2016-01-31,Female,Kelp gull
6800632430,Mikael,2010-07-15,Male,Feral rock pigeon
